"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"182",1986-03-01,5.3,3460,NA,49156,NA,-14769.5047865536,1.67255491522377,7058.57670552878,11.3,1.9547,"sweden"
"183",1986-04-01,4.3,4120,NA,48599,NA,-14296.4984114279,2.07,7357.0338173563,10.6,1.915,"sweden"
"184",1986-05-01,4.6,2470,NA,48012,NA,-13833.6926489233,2.61588318318401,7572.86558475755,9.75,1.9016,"sweden"
"185",1986-06-01,3.4,3340,NA,49366,NA,-13380.9763879286,3.13760159921626,7689.40873616222,9.8,1.8538,"sweden"
"186",1986-07-01,3.7,5120,NA,46910,NA,-12938.2385173327,3.38,7690,9.7,1.8406,"sweden"
"187",1986-08-01,4,2700,NA,46488,NA,-12505.3679260246,3.14978526225727,7564.63269203609,9.53,1.7445,"sweden"
"188",1986-09-01,3.9,360,NA,45340,NA,-12082.2535028931,2.50111276198527,7329.92647737772,9.24,1.6616,"sweden"
"189",1986-10-01,4.4,2360,NA,48104,NA,-11668.784136827,1.55,7009.15760846761,8.87,1.6537,"sweden"
"190",1986-11-01,4.1,2780,NA,49659,NA,-11264.8487167154,0.466086878898027,6625.60233774852,8.62,1.6433,"sweden"
"191",1986-12-01,3.5,2210,NA,47726,NA,-10870.336131447,-0.366497091601785,6202.53691766316,9.37,1.6858,"sweden"
"192",1987-01-01,3.3,2220,NA,45648,NA,-10485.1352699108,-0.51,5763.23760065427,9.6,1.6647,"sweden"
"193",1987-02-01,3.1,1230,11.85,44697,NA,-10109.1350209957,0.296978333261732,5330.98063916459,10.53,1.5616,"sweden"
"194",1987-03-01,3.4,3530,11.54,49986,NA,-9742.22427359045,1.61043115997742,4929.04228563686,10.78,1.5403,"sweden"
"195",1987-04-01,3.8,2190,11.23,52532,NA,-9384.29191658408,2.81,4580.69879251379,10.34,1.5391,"sweden"
"196",1987-05-01,3.4,3010,11.5,54280,NA,-9035.22683886543,3.38118497324023,4309.22641223814,9.96,1.4959,"sweden"
"197",1987-06-01,3.5,3190,11.95,56127,NA,-8694.91792932338,3.23292059984024,4137.90139725263,10.18,1.4705,"sweden"
"198",1987-07-01,3.3,1810,11.53,54194,NA,-8363.25407684684,2.38,4090,9.96,1.5085,"sweden"
